dataset_id,task_id,seed,budget,coverage_target,rank_by_point_risk,rank_by_mean_set_size,rank_disagreement_indicator
real_anes96_vote,anes96_vote_clinton_vs_dole,1,30,0.8,gradient_boosting_probability_conformal,cached_llm_promptopt_anes_opt_rank2_seed_sharp_when_clear,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,cached_llm_anes_original_persona,cached_llm_promptopt_anes_opt_rank2_seed_sharp_when_clear,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,cached_llm_anes_original_persona,cached_llm_promptopt_anes_opt_rank2_seed_sharp_when_clear,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,60,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_anes96_vote,anes96_vote_clinton_vs_dole,1,60,0.9,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,calibrated_probability_conformal,random_forest_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,100,0.8,calibrated_probability_conformal,random_forest_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,100,0.9,calibrated_probability_conformal,random_forest_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,120,0.8,cached_llm_anes_original_persona,random_forest_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,120,0.9,cached_llm_anes_original_persona,calibrated_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,140,0.8,cached_llm_anes_calibrated_persona,calibrated_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,1,140,0.9,cached_llm_anes_calibrated_persona,calibrated_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,2,30,0.8,cached_llm_anes_calibrated_persona,calibrated_probability_conformal,1
real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,calibrated_probability_conformal,cached_llm_anes_original_persona,1
real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,calibrated_probability_conformal,cached_llm_promptopt_anes_opt_rank2_seed_sharp_when_clear,1
real_anes96_vote,anes96_vote_clinton_vs_dole,2,60,0.8,random_forest_probability_conformal,random_forest_probability_conformal,0
real_anes96_vote,anes96_vote_clinton_vs_dole,2,60,0.9,random_forest_probability_conformal,cached_llm_anes_original_persona,1
