dataset_id,task_id,seed,budget,coverage_target,rank_by_point_risk,rank_by_mean_set_size,rank_disagreement_indicator
real_fair_affairs,fair_any_extramarital_affair,1,30,0.8,calibrated_probability_conformal,random_forest_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,40,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_fair_affairs,fair_any_extramarital_affair,1,40,0.9,calibrated_probability_conformal,calibrated_probability_conformal,0
real_fair_affairs,fair_any_extramarital_affair,1,60,0.8,cached_llm_fair_calibrated_persona,random_forest_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,60,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,80,0.8,cached_llm_fair_calibrated_persona,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,80,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,100,0.8,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,100,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,120,0.8,cached_llm_fair_calibrated_persona,cached_llm_fair_calibrated_persona,0
real_fair_affairs,fair_any_extramarital_affair,1,120,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,1,140,0.8,cached_llm_fair_calibrated_persona,cached_llm_fair_calibrated_persona,0
real_fair_affairs,fair_any_extramarital_affair,1,140,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,30,0.8,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,40,0.8,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,40,0.9,cached_llm_fair_calibrated_persona,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,60,0.8,cached_llm_fair_calibrated_persona,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,1
real_fair_affairs,fair_any_extramarital_affair,2,60,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,80,0.8,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,80,0.9,cached_llm_fair_calibrated_persona,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,100,0.8,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,100,0.9,cached_llm_fair_calibrated_persona,random_forest_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,120,0.8,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,cached_llm_promptopt_fair_opt_rank1_gen1_focused_demographics,1
real_fair_affairs,fair_any_extramarital_affair,2,120,0.9,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,2,140,0.8,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,cached_llm_fair_original_persona,1
real_fair_affairs,fair_any_extramarital_affair,2,140,0.9,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,random_forest_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,30,0.8,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,40,0.8,cached_llm_fair_calibrated_persona,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,40,0.9,cached_llm_fair_calibrated_persona,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,60,0.8,cached_llm_fair_calibrated_persona,random_forest_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,60,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,80,0.8,random_forest_probability_conformal,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,1
real_fair_affairs,fair_any_extramarital_affair,3,80,0.9,random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,100,0.8,cached_llm_fair_calibrated_persona,cached_llm_promptopt_fair_opt_rank2_gen1_risk_tiered_calibration,1
real_fair_affairs,fair_any_extramarital_affair,3,100,0.9,cached_llm_fair_calibrated_persona,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,120,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_fair_affairs,fair_any_extramarital_affair,3,120,0.9,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
