dataset_id,task_id,seed,budget,coverage_target,rank_by_point_risk,rank_by_mean_set_size,rank_disagreement_indicator
real_star98_education,star98_majority_above_benchmark,1,30,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,1,40,0.8,random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,40,0.9,random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,60,0.8,random_forest_probability_conformal,random_forest_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,1,60,0.9,random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,80,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,80,0.9,gradient_boosting_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,100,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,100,0.9,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,120,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,120,0.9,gradient_boosting_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,140,0.8,random_forest_probability_conformal,random_forest_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,1,140,0.9,random_forest_probability_conformal,random_forest_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,1,160,0.8,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,1,160,0.9,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,30,0.8,calibrated_probability_conformal,cached_llm_promptopt_star98_opt_rank1_seed_calibrated_persona,1
real_star98_education,star98_majority_above_benchmark,2,40,0.8,random_forest_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,40,0.9,random_forest_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,60,0.8,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,60,0.9,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,80,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,2,80,0.9,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,100,0.8,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,100,0.9,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,120,0.8,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,120,0.9,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,140,0.8,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,140,0.9,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,160,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,2,160,0.9,gradient_boosting_probability_conformal,gradient_boosting_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,30,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,40,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,40,0.9,calibrated_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,60,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,60,0.9,gradient_boosting_probability_conformal,random_forest_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,80,0.8,random_forest_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,80,0.9,random_forest_probability_conformal,random_forest_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,100,0.8,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,100,0.9,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,120,0.8,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,120,0.9,gradient_boosting_probability_conformal,calibrated_probability_conformal,1
real_star98_education,star98_majority_above_benchmark,3,140,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,140,0.9,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,160,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_star98_education,star98_majority_above_benchmark,3,160,0.9,calibrated_probability_conformal,calibrated_probability_conformal,0
