dataset_id,task_id,seed,budget,coverage_target,rank_by_point_risk,rank_by_mean_set_size,rank_disagreement_indicator
real_acs_income_folktables,acs_income_above_50k,1,60,0.8,calibrated_extra_trees_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,60,0.9,calibrated_extra_trees_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,120,0.8,calibrated_random_forest_probability_conformal,hist_gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,120,0.9,calibrated_random_forest_probability_conformal,xgboost_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,240,0.8,calibrated_random_forest_probability_conformal,calibrated_extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,240,0.9,calibrated_random_forest_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,480,0.8,calibrated_random_forest_probability_conformal,calibrated_random_forest_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,1,480,0.9,calibrated_random_forest_probability_conformal,calibrated_random_forest_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,1,960,0.8,calibrated_random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,1,960,0.9,calibrated_random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,60,0.8,calibrated_extra_trees_probability_conformal,cached_llm_acs_calibrated_persona,1
real_acs_income_folktables,acs_income_above_50k,2,60,0.9,calibrated_extra_trees_probability_conformal,cached_llm_acs_calibrated_persona,1
real_acs_income_folktables,acs_income_above_50k,2,120,0.8,calibrated_probability_conformal,gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,120,0.9,calibrated_probability_conformal,hist_gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,240,0.8,calibrated_random_forest_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,240,0.9,calibrated_random_forest_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,480,0.8,catboost_probability_conformal,catboost_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,2,480,0.9,catboost_probability_conformal,lightgbm_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,960,0.8,calibrated_random_forest_probability_conformal,calibrated_extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,2,960,0.9,calibrated_random_forest_probability_conformal,calibrated_random_forest_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,3,60,0.8,calibrated_random_forest_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,60,0.9,calibrated_random_forest_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,120,0.8,xgboost_probability_conformal,gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,120,0.9,xgboost_probability_conformal,gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,240,0.8,random_forest_probability_conformal,lightgbm_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,240,0.9,random_forest_probability_conformal,catboost_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,480,0.8,random_forest_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,480,0.9,random_forest_probability_conformal,calibrated_random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,960,0.8,xgboost_probability_conformal,catboost_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,3,960,0.9,xgboost_probability_conformal,calibrated_random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,60,0.8,catboost_probability_conformal,xgboost_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,60,0.9,catboost_probability_conformal,calibrated_extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,120,0.8,random_forest_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,120,0.9,random_forest_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,240,0.8,calibrated_random_forest_probability_conformal,calibrated_extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,240,0.9,calibrated_random_forest_probability_conformal,calibrated_random_forest_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,4,480,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,4,480,0.9,calibrated_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,960,0.8,random_forest_probability_conformal,lightgbm_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,4,960,0.9,random_forest_probability_conformal,extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,60,0.8,catboost_probability_conformal,calibrated_extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,60,0.9,catboost_probability_conformal,random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,120,0.8,calibrated_random_forest_probability_conformal,gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,120,0.9,calibrated_random_forest_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,240,0.8,calibrated_probability_conformal,calibrated_probability_conformal,0
real_acs_income_folktables,acs_income_above_50k,5,240,0.9,calibrated_probability_conformal,calibrated_random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,480,0.8,catboost_probability_conformal,calibrated_extra_trees_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,480,0.9,catboost_probability_conformal,xgboost_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,960,0.8,xgboost_probability_conformal,hist_gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,5,960,0.9,xgboost_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,60,0.8,calibrated_random_forest_probability_conformal,catboost_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,60,0.9,calibrated_random_forest_probability_conformal,random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,120,0.8,calibrated_random_forest_probability_conformal,calibrated_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,120,0.9,calibrated_random_forest_probability_conformal,hist_gradient_boosting_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,240,0.8,hist_gradient_boosting_probability_conformal,random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,240,0.9,hist_gradient_boosting_probability_conformal,calibrated_random_forest_probability_conformal,1
real_acs_income_folktables,acs_income_above_50k,6,480,0.8,xgboost_probability_conformal,gradient_boosting_probability_conformal,1
