dataset_name,run_label,coverage_target,n_paired_cells,mean_set_size_gap_llm_minus_reference,se_set_size_gap_llm_minus_reference,ci95_low_set_size_gap_llm_minus_reference,ci95_high_set_size_gap_llm_minus_reference,mean_risk_gap_llm_minus_reference,mean_coverage_gap_llm_minus_reference
ACS income,minimax_acs_schema_budgetgrid,0.8,48,0.36783682779722654,0.03003809781457924,0.30896215608065125,0.42671149951380183,0.1266781304034606,0.059410486812819664
ACS income,minimax_acs_schema_budgetgrid,0.9,49,0.2991246757172582,0.017590256245088847,0.26464777347688406,0.33360157795763234,0.12488805325114032,0.0261345085795546
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,61,0.007928587308415454,0.016189445391230343,-0.023802725658396022,0.03965990027522693,-0.01123893138018566,0.015001018226331346
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,53,0.03176954773680733,0.022434132534333403,-0.012201352030486133,0.0757404475041008,0.0005720106069278996,0.0021867272686055357
Adult income,minimax_adult_schema_budgetgrid,0.8,58,0.03826906535369398,0.027848430129211756,-0.016313857699561063,0.09285198840694903,-0.04047643616089274,0.05225620711621427
Adult income,minimax_adult_schema_budgetgrid,0.9,48,0.021184147673562987,0.03560642139772799,-0.048604438265983874,0.09097273361310984,-0.05003828356902956,0.04296077774152373
Fair affairs,minimax_fair_schema_budgetgrid,0.8,68,0.31554986164506293,0.04006856219688269,0.23701547973917286,0.394084243550953,-0.013408379546150444,0.05372168401773666
Fair affairs,minimax_fair_schema_budgetgrid,0.9,59,0.39540556900726387,0.018327592518554595,0.3594834876708969,0.43132765034363085,-0.020547100196010602,0.07373284907183213
Fertility demography,minimax_fertility_schema_budgetgrid,0.8,49,0.5610890553532873,0.021483327014309803,0.5189817344052401,0.6031963763013346,0.35189067287885767,0.03938009835969017
Fertility demography,minimax_fertility_schema_budgetgrid,0.9,36,0.6284454280287615,0.025343836701260336,0.5787715080942912,0.6781193479632317,0.382543089626423,0.04316257816257814
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,53,0.4782801161103048,0.03603137115619492,0.40765862864416275,0.5489016035764468,0.06669327527818095,0.0855611998064828
Modechoice car,minimax_modechoice_schema_budgetgrid,0.9,47,0.33173758865248226,0.03391058744423421,0.2652728372617832,0.39820234004318134,0.048847517730496476,0.017393617021276602
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,64,0.03399553571428573,0.023423120847820993,-0.011913781147443417,0.07990485257601487,-0.06654203869047619,0.038776041666666664
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,57,0.003964076858813696,0.017110748946632663,-0.02957299107658632,0.037501144794213716,-0.07473684210526314,0.03280910609857977
Star98 education,minimax_star98_schema_budgetgrid,0.8,64,0.6513291097689076,0.02108969421869926,0.6099933091002571,0.6926649104375581,0.17918767507002803,0.053124179359243684
Star98 education,minimax_star98_schema_budgetgrid,0.9,57,0.519140559732665,0.024043394394477547,0.47201550671948905,0.566265612745841,0.18204260651629073,0.0325125313283208
