run_label,experiment_id,dataset_id,task_id,seed,coverage_target,target_policy_space,target_budget,frontier_set_size,fess_ess_status,fess_ess_bracket,fess_ess_point_on_grid,point_risk,ress_ess_status,ress_ess_bracket,ress_ess_point_on_grid,ess_brackets_disagree
minimax_anes_real_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,llm_prompt_policy_frontier,40,0.8769230769230769,attained,40-80,80.0,0.0606060606060605,attained,40-80,80.0,False
minimax_anes_real_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,llm_prompt_policy_frontier,40,0.953846153846154,above_grid,>80,,0.0606060606060605,attained,40-80,80.0,True
minimax_anes_real_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.8,llm_prompt_policy_frontier,40,0.8615384615384616,attained,40-80,80.0,0.0571428571428571,attained,<=40,40.0,True
minimax_anes_real_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.9,llm_prompt_policy_frontier,40,0.9714285714285714,attained,40-80,80.0,0.0571428571428571,attained,<=40,40.0,True
minimax_anes_real_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,3,0.8,llm_prompt_policy_frontier,40,0.8769230769230769,attained,<=40,40.0,0.0285714285714285,above_grid,>80,,True
minimax_anes_real_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,3,0.9,llm_prompt_policy_frontier,40,0.9230769230769232,attained,40-80,80.0,0.0285714285714285,above_grid,>80,,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,llm_prompt_policy_frontier,40,0.8333333333333334,above_grid,>80,,0.0575539568345323,attained,40-80,80.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,llm_prompt_policy_frontier,40,1.0,attained,<=40,40.0,0.0575539568345323,attained,40-80,80.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,llm_prompt_policy_frontier,80,0.9292929292929292,attained,40-80,80.0,0.0505050505050505,attained,40-80,80.0,False
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,llm_prompt_policy_frontier,80,1.0,attained,<=40,40.0,0.0505050505050505,attained,40-80,80.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.8,llm_prompt_policy_frontier,40,0.9280575539568344,attained,40-80,80.0,0.0571428571428571,attained,<=40,40.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.9,llm_prompt_policy_frontier,40,1.579710144927536,attained,40-80,80.0,0.0571428571428571,attained,<=40,40.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.8,llm_prompt_policy_frontier,80,0.9292929292929292,attained,40-80,80.0,0.0699999999999999,attained,<=40,40.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.9,llm_prompt_policy_frontier,80,1.0,attained,40-80,80.0,0.0699999999999999,attained,<=40,40.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,3,0.8,llm_prompt_policy_frontier,40,0.935251798561151,attained,<=40,40.0,0.0579710144927536,attained,40-80,80.0,True
minimax_anes_schema_promptopt,E10,real_anes96_vote,anes96_vote_clinton_vs_dole,3,0.9,llm_prompt_policy_frontier,40,1.0,attained,<=40,40.0,0.0579710144927536,attained,40-80,80.0,True
