experiment_id,dataset_id,task_id,seed,budget,coverage_target,prompt_search_family,frontier_status,frontier_method,frontier_set_size,coverage,point_risk,n_methods,n_valid_methods
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,component_grid,attained,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.9428571428571428,0.8857142857142857,0.0714285714285714,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,fixed_only,attained,cached_llm_anes_calibrated_persona,0.9571428571428572,0.8928571428571429,0.0714285714285714,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,oprolite_minimax,attained,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.9,0.85,0.0714285714285714,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,seed_selection,attained,cached_llm_anes_calibrated_persona,0.9571428571428572,0.8928571428571429,0.0714285714285714,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,component_grid,attained,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.9428571428571428,0.8857142857142857,0.0714285714285714,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,fixed_only,attained,cached_llm_anes_calibrated_persona,1.0,0.9285714285714286,0.0714285714285714,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,oprolite_minimax,attained,cached_llm_anes_calibrated_persona,1.0,0.9285714285714286,0.0714285714285714,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,seed_selection,attained,cached_llm_anes_calibrated_persona,1.0,0.9285714285714286,0.0714285714285714,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,component_grid,attained,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.93,0.87,0.07999999999999996,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,fixed_only,attained,cached_llm_anes_calibrated_persona,0.96,0.9,0.06999999999999995,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,oprolite_minimax,attained,cached_llm_anes_calibrated_persona,0.96,0.9,0.06999999999999995,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,seed_selection,attained,cached_llm_anes_calibrated_persona,0.96,0.9,0.06999999999999995,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,component_grid,attained,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.93,0.87,0.07999999999999996,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,fixed_only,attained,cached_llm_anes_original_persona,1.28,0.96,0.06999999999999995,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,oprolite_minimax,attained,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,1.08,0.95,0.06999999999999995,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,seed_selection,attained,cached_llm_anes_original_persona,1.28,0.96,0.06999999999999995,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,component_grid,attained,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.95,0.9,0.06428571428571428,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,fixed_only,attained,cached_llm_anes_original_persona,1.3142857142857143,0.9642857142857143,0.07857142857142863,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,oprolite_minimax,attained,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,1.0,0.9357142857142857,0.06428571428571428,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,seed_selection,attained,cached_llm_anes_original_persona,1.3142857142857143,0.9642857142857143,0.07857142857142863,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,component_grid,attained,cached_llm_anes_original_persona,1.3142857142857143,0.9642857142857143,0.07857142857142863,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,fixed_only,attained,cached_llm_anes_original_persona,1.3142857142857143,0.9642857142857143,0.07857142857142863,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,oprolite_minimax,attained,cached_llm_anes_original_persona,1.3142857142857143,0.9642857142857143,0.07857142857142863,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,seed_selection,attained,cached_llm_anes_original_persona,1.3142857142857143,0.9642857142857143,0.07857142857142863,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,component_grid,attained,cached_llm_anes_calibrated_persona,0.93,0.86,0.07999999999999996,4,4
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,fixed_only,attained,cached_llm_anes_calibrated_persona,0.93,0.86,0.07999999999999996,2,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,oprolite_minimax,attained,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.86,0.81,0.06999999999999995,4,4
