experiment_id,dataset_id,task_id,seed,coverage_target,target_prompt_search_family,reference_prompt_search_family,target_budget,frontier_set_size,target_frontier_method,target_coverage,target_point_risk,fess_ess_status,fess_ess_bracket,fess_ess_point_on_grid,point_risk,target_risk_method,ress_ess_status,ress_ess_bracket,ress_ess_point_on_grid,equivalent_brackets_disagree,fess_numeric_order,ress_numeric_order,fess_minus_ress_order
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,component_grid,fixed_only,40,0.9428571428571428,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.8857142857142857,0.0714285714285714,above_grid,>80,,0.0642857142857142,cached_llm_promptopt_anes_component_grid_rank1_grid_calibrated_classifier_conflict_check_avoid_defaults_prob_sum,above_grid,>80,,False,100.0,100.0,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,oprolite_minimax,fixed_only,40,0.9,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.85,0.0714285714285714,above_grid,>80,,0.0714285714285714,cached_llm_anes_calibrated_persona,attained,<=40,40.0,True,100.0,40.0,60.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,seed_selection,fixed_only,40,0.9571428571428572,cached_llm_anes_calibrated_persona,0.8928571428571429,0.0714285714285714,attained,<=40,40.0,0.0714285714285714,cached_llm_anes_calibrated_persona,attained,<=40,40.0,False,40.0,40.0,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,component_grid,fixed_only,40,0.9428571428571428,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.8857142857142857,0.0714285714285714,above_grid,>80,,0.0642857142857142,cached_llm_promptopt_anes_component_grid_rank1_grid_calibrated_classifier_conflict_check_avoid_defaults_prob_sum,above_grid,>80,,False,100.0,100.0,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,oprolite_minimax,fixed_only,40,1.0,cached_llm_anes_calibrated_persona,0.9285714285714286,0.0714285714285714,attained,<=40,40.0,0.0714285714285714,cached_llm_anes_calibrated_persona,attained,<=40,40.0,False,40.0,40.0,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,seed_selection,fixed_only,40,1.0,cached_llm_anes_calibrated_persona,0.9285714285714286,0.0714285714285714,attained,<=40,40.0,0.0714285714285714,cached_llm_anes_calibrated_persona,attained,<=40,40.0,False,40.0,40.0,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,component_grid,fixed_only,80,0.93,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.87,0.0799999999999999,above_grid,>80,,0.0699999999999999,cached_llm_anes_original_persona,attained,40-80,80.0,True,100.0,60.0,40.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,oprolite_minimax,fixed_only,80,0.96,cached_llm_anes_calibrated_persona,0.9,0.0699999999999999,attained,<=40,40.0,0.0699999999999999,cached_llm_anes_original_persona,attained,40-80,80.0,True,40.0,60.0,-20.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.8,seed_selection,fixed_only,80,0.96,cached_llm_anes_calibrated_persona,0.9,0.0699999999999999,attained,<=40,40.0,0.0699999999999999,cached_llm_anes_original_persona,attained,40-80,80.0,True,40.0,60.0,-20.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,component_grid,fixed_only,80,0.93,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.87,0.0799999999999999,above_grid,>80,,0.0699999999999999,cached_llm_anes_original_persona,attained,40-80,80.0,True,100.0,60.0,40.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,oprolite_minimax,fixed_only,80,1.08,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.95,0.0699999999999999,attained,<=40,40.0,0.0699999999999999,cached_llm_anes_original_persona,attained,40-80,80.0,True,40.0,60.0,-20.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,0.9,seed_selection,fixed_only,80,1.28,cached_llm_anes_original_persona,0.96,0.0699999999999999,attained,<=40,40.0,0.0699999999999999,cached_llm_anes_original_persona,attained,40-80,80.0,True,40.0,60.0,-20.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.8,component_grid,fixed_only,40,0.95,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.9,0.0642857142857142,attained,40-80,80.0,0.0642857142857142,cached_llm_anes_calibrated_persona,attained,<=40,40.0,True,60.0,40.0,20.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,0.8,oprolite_minimax,fixed_only,40,1.0,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.9357142857142856,0.0642857142857142,attained,40-80,80.0,0.0642857142857142,cached_llm_anes_calibrated_persona,attained,<=40,40.0,True,60.0,40.0,20.0
