dataset_name,run_label,seed,budget,coverage_target,frontier_set_size_llm,coverage_llm,point_risk_llm,frontier_set_size_reference,coverage_reference,point_risk_reference,set_size_gap_llm_minus_reference,coverage_gap_llm_minus_reference,risk_gap_llm_minus_reference
ANES96 vote,minimax_anes_schema_budgetgrid,1,30,0.8,1.0,0.9256756756756755,0.0743243243243243,1.2466666666666666,0.94,0.14,-0.2466666666666666,-0.0143243243243244,-0.06567567567567571
ANES96 vote,minimax_anes_schema_budgetgrid,1,40,0.8,0.8333333333333334,0.7898550724637681,0.072463768115942,1.0,0.9357142857142856,0.0642857142857142,-0.16666666666666663,-0.14585921325051754,0.008178053830227808
ANES96 vote,minimax_anes_schema_budgetgrid,1,40,0.9,1.0,0.9214285714285714,0.0785714285714286,1.0,0.9357142857142856,0.0642857142857142,0.0,-0.014285714285714235,0.014285714285714401
ANES96 vote,minimax_anes_schema_budgetgrid,1,60,0.8,0.9411764705882352,0.8907563025210085,0.0588235294117647,0.8916666666666667,0.85,0.0583333333333333,0.04950980392156845,0.04075630252100848,0.0004901960784313986
ANES96 vote,minimax_anes_schema_budgetgrid,1,60,0.9,1.0,0.9333333333333332,0.0666666666666666,0.9416666666666668,0.875,0.125,0.05833333333333324,0.05833333333333324,-0.058333333333333404
ANES96 vote,minimax_anes_schema_budgetgrid,1,80,0.8,0.9292929292929292,0.8888888888888888,0.0505050505050505,0.86,0.82,0.0799999999999999,0.06929292929292918,0.06888888888888889,-0.029494949494949407
ANES96 vote,minimax_anes_schema_budgetgrid,1,80,0.9,1.0,0.9494949494949496,0.0505050505050505,0.96,0.89,0.1099999999999999,0.040000000000000036,0.0594949494949496,-0.059494949494949406
ANES96 vote,minimax_anes_schema_budgetgrid,1,100,0.8,0.9367088607594936,0.8987341772151899,0.0506329113924051,0.825,0.8,0.05,0.1117088607594936,0.09873417721518984,0.0006329113924050944
ANES96 vote,minimax_anes_schema_budgetgrid,1,100,0.9,1.0,0.9493670886075948,0.0506329113924051,0.9125,0.875,0.0625,0.08750000000000002,0.07436708860759478,-0.011867088607594903
ANES96 vote,minimax_anes_schema_budgetgrid,1,120,0.8,0.9322033898305084,0.8983050847457628,0.0338983050847457,0.95,0.9,0.0666666666666666,-0.017796610169491522,-0.0016949152542372614,-0.032768361581920896
ANES96 vote,minimax_anes_schema_budgetgrid,1,120,0.9,0.9833333333333332,0.9333333333333332,0.05,0.95,0.9,0.0666666666666666,0.033333333333333215,0.033333333333333215,-0.016666666666666594
ANES96 vote,minimax_anes_schema_budgetgrid,1,140,0.8,0.9230769230769232,0.8974358974358975,0.0256410256410256,0.8,0.775,0.05,0.1230769230769232,0.12243589743589745,-0.024358974358974404
ANES96 vote,minimax_anes_schema_budgetgrid,1,140,0.9,1.051282051282051,0.9743589743589745,0.0256410256410256,0.9,0.875,0.05,0.15128205128205108,0.09935897435897445,-0.024358974358974404
ANES96 vote,minimax_anes_schema_budgetgrid,2,30,0.8,1.0,0.9194630872483222,0.0805369127516778,0.9133333333333332,0.86,0.1066666666666666,0.08666666666666678,0.059463087248322166,-0.0261297539149888
ANES96 vote,minimax_anes_schema_budgetgrid,2,40,0.8,0.9280575539568344,0.8489208633093526,0.0863309352517985,1.0,0.9428571428571428,0.0571428571428571,-0.07194244604316558,-0.09393627954779027,0.029188078108941397
ANES96 vote,minimax_anes_schema_budgetgrid,2,40,0.9,1.579710144927536,0.9855072463768116,0.072463768115942,1.6857142857142855,0.9928571428571428,0.05,-0.10600414078674958,-0.007349896480331131,0.022463768115942
ANES96 vote,minimax_anes_schema_budgetgrid,2,60,0.8,0.8389830508474576,0.788135593220339,0.0847457627118644,0.8333333333333334,0.8,0.05,0.005649717514124242,-0.011864406779661052,0.0347457627118644
ANES96 vote,minimax_anes_schema_budgetgrid,2,60,0.9,1.4333333333333331,0.9833333333333332,0.0583333333333333,1.225,0.9666666666666668,0.05,0.20833333333333304,0.016666666666666385,0.008333333333333297
ANES96 vote,minimax_anes_schema_budgetgrid,2,80,0.8,0.9292929292929292,0.8585858585858586,0.0808080808080807,0.82,0.79,0.06,0.10929292929292922,0.06858585858585853,0.020808080808080706
ANES96 vote,minimax_anes_schema_budgetgrid,2,80,0.9,1.0,0.93,0.0699999999999999,0.97,0.93,0.06,0.030000000000000027,0.0,0.009999999999999898
ANES96 vote,minimax_anes_schema_budgetgrid,2,140,0.9,1.1842105263157894,0.9473684210526316,0.1052631578947368,0.95,0.875,0.0749999999999999,0.23421052631578942,0.07236842105263164,0.030263157894736895
ANES96 vote,minimax_anes_schema_budgetgrid,3,30,0.8,1.0,0.9324324324324323,0.0675675675675675,1.1133333333333333,0.9533333333333334,0.0933333333333333,-0.11333333333333329,-0.02090090090090102,-0.025765765765765794
ANES96 vote,minimax_anes_schema_budgetgrid,3,40,0.8,0.935251798561151,0.8633093525179856,0.0719424460431654,0.8285714285714286,0.7857142857142857,0.1142857142857143,0.10668036998972241,0.07759506680369987,-0.0423432682425489
ANES96 vote,minimax_anes_schema_budgetgrid,3,40,0.9,1.0,0.9280575539568344,0.0719424460431654,0.9785714285714284,0.9142857142857144,0.0714285714285714,0.021428571428571574,0.013771839671120056,0.0005138746145939982
ANES96 vote,minimax_anes_schema_budgetgrid,3,60,0.8,0.9243697478991596,0.8571428571428571,0.0672268907563025,0.8416666666666667,0.8083333333333333,0.0749999999999999,0.08270308123249293,0.04880952380952375,-0.007773109243697396
ANES96 vote,minimax_anes_schema_budgetgrid,3,60,0.9,0.9583333333333334,0.9,0.0666666666666666,0.9333333333333332,0.8833333333333333,0.0749999999999999,0.025000000000000133,0.01666666666666672,-0.008333333333333304
ANES96 vote,minimax_anes_schema_budgetgrid,3,80,0.9,1.0,0.94,0.06,0.9,0.87,0.05,0.09999999999999998,0.06999999999999995,0.009999999999999995
ANES96 vote,minimax_anes_schema_budgetgrid,3,100,0.9,1.2531645569620251,0.9620253164556962,0.0506329113924051,1.1625,0.975,0.05,0.09066455696202502,-0.012974683544303756,0.0006329113924050944
